Neighbourhood ID,Neighbourhood Name,"Rate per 100,000 people",Case Count
138,Eglinton East,943.9761152,215
47,Don Valley Village,428.819637,116
38,Lansing-Westgate,519.6733482,84
9,Edenbridge-Humber Valley,1017.058256,158
44,Flemingdon Park,1048.648156,230
59,Danforth East York,378.346915,65
129,Agincourt North,542.7128774,158
99,Mount Pleasant East,286.1400894,48
137,Woburn,975.9745723,522
102,Forest Hill North,491.9568952,63
111,Rockcliffe-Smythe,1137.283107,253
130,Milliken,391.3894325,104
55,Thorncliffe Park,980.6708357,207
7,Willowridge-Martingrove-Richview,1105.79527,245
12,Markland Wood,464.2789464,49
60,Woodbine-Lumsden,445.0095359,35
10,Princess-Rosethorn,443.3987874,49
114,Lambton Baby Point,413.2748904,33
15,Kingsway South,657.9656995,61
133,Centennial Scarborough,441.5506661,59
75,Church-Yonge Corridor,749.8404595,235
26,Downsview-Roding-CFB,1968.503937,690
61,Taylor-Massey,835.2993687,131
124,Kennedy Park,1016.177072,174
100,Yonge-Eglinton,321.5706186,38
120,Clairlea-Birchmount,1126.593537,304
90,Junction Area,682.1662258,98
115,Mount Dennis,2192.304863,298
32,Englemount-Lawrence,1256.034329,281
70,South Riverdale,294.1598508,82
74,North St. James Town,1488.047274,277
77,Waterfront Communities-The Island,816.2274513,538
106,Humewood-Cedarvale,334.1454925,48
93,Dovercourt-Wallace Emerson-Junction,554.2662116,203
42,Banbury-Don Mills,314.1361257,87
97,Yonge-St.Clair,375.1596424,47
53,Henry Farm,852.2546588,134
104,Mount Pleasant West,842.9428822,250
8,Humber Heights-Westmount,2082.572159,228
89,Runnymede-Bloor West Village,347.5670308,35
85,South Parkdale,1469.174791,321
140,Guildwood,1804.981345,179
118,Tam O'Shanter-Sullivan,575.6758726,158
36,Newtonbrook West,1477.067685,352
,Missing Address/Postal Code,,791
84,Little Portugal,1054.052317,164
49,Bayview Woods-Steeles,1087.121788,143
82,Niagara,779.3457344,243
14,Islington-City Centre West,1198.680769,527
123,Cliffcrest,633.8249137,101
117,L'Amoreaux,475.0755802,209
122,Birchcliffe-Cliffside,1112.556637,248
81,Trinity-Bellwoods,543.6095675,90
11,Eringate-Centennial-West Deane,715.5153863,133
5,Elms-Old Rexdale,1660.321489,157
51,Willowdale East,281.5560931,142
87,High Park-Swansea,547.5444096,131
68,North Riverdale,360.8593488,43
71,Cabbagetown-South St. James Town,865.5411775,101
83,Dufferin Grove,823.0801867,97
24,Black Creek,2014.99747,438
30,Brookhaven-Amesbury,1588.106099,282
20,Alderwood,696.8641115,84
4,Rexdale-Kipling,1814.03742,191
125,Ionview,579.1364269,79
110,Keelesdale-Eglinton West,1094.230421,121
2,Mount Olive-Silverstone-Jamestown,2312.314135,762
52,Bayview Village,364.5541223,78
72,Regent Park,777.5617884,84
80,Palmerston-Little Italy,433.9649935,60
116,Steeles,377.6956504,93
16,Stonegate-Queensway,447.0879406,112
135,Morningside,1627.040962,284
98,Rosedale-Moore Park,301.1040482,63
136,West Hill,784.9007009,215
29,Maple Leaf,2423.103551,245
1,West Humber-Clairville,2176.392891,725
101,Forest Hill South,409.9888185,44
112,Beechborough-Greenbrook,2174.243576,143
79,University,762.455633,58
109,Caledonia-Fairbank,743.3450527,74
56,Leaside-Bennington,291.1813644,49
103,Lawrence Park South,368.9307596,56
73,Moss Park,1472.739686,302
31,Yorkdale-Glen Park,2168.332883,321
25,Glenfield-Jane Heights,2397.428749,731
66,Danforth,537.9681357,52
91,Weston-Pelham Park,928.0951523,103
3,Thistletown-Beaumond Heights,1679.53668,174
88,High Park North,410.6127606,91
58,Old East York,476.5515001,44
21,Humber Summit,1675.257732,208
139,Scarborough Village,1219.803875,204
19,Long Branch,535.501785,54
46,Pleasant View,354.0270578,56
131,Rouge,1025.894701,477
34,Bathurst Manor,1310.40131,208
18,New Toronto,1099.188694,126
67,Playter Estates-Danforth,820.0922604,64
54,O'Connor-Parkview,578.313253,108
17,Mimico (includes Humber Bay Shores),747.8506654,254
64,Woodbine Corridor,303.0061399,38
126,Dorset Park,1191.856977,298
6,Kingsview Village-The Westway,2154.545455,474
121,Oakridge,1032.86385,143
57,Broadview North,426.1240108,49
127,Bendale,971.2950601,291
107,Oakwood Village,928.8071664,197
45,Parkwoods-Donalda,551.6448786,192
69,Blake-Jones,375.3073638,29
119,Wexford/Maryvale,530.1429237,148
108,Briar Hill-Belgravia,1080.171144,154
27,York University Heights,2308.556518,637
22,Humbermede,1884.850434,293
41,Bridle Path-Sunnybrook-York Mills,345.3485862,32
128,Agincourt South-Malvern West,479.858568,114
23,Pelmo Park-Humberlea,1594.851707,171
28,Rustic,1549.139926,154
86,Roncesvalles,560.9723521,84
78,Kensington-Chinatown,919.4761772,165
92,Corso Italia-Davenport,750.0176891,106
63,The Beaches,236.4723884,51
48,Hillcrest Village,572.812094,97
43,Victoria Village,713.8777841,125
50,Newtonbrook East,291.979872,47
62,East End-Danforth,350.7787288,75
132,Malvern,915.6505457,401
40,St.Andrew-Windfields,247.0244779,44
96,Casa Loma,474.1064916,52
134,Highland Creek,856.4110773,107
65,Greenwood-Coxwell,450.8566276,65
39,Bedford Park-Nortown,710.1050095,165
13,Etobicoke West Mall,1316.67792,156
33,Clanton Park,679.9417193,112
105,Lawrence Park North,253.3032108,37
35,Westminster-Branson,1339.727487,352
113,Weston,2812.361049,506
95,Annex,782.9391339,239
94,Wychwood,857.2025925,123
37,Willowdale West,501.8894662,85
76,Bay Street Corridor,488.4288871,126
