Neighbourhood ID,Neighbourhood Name,Median Rent
129,Agincourt North,"$1,750"
128,Agincourt South-Malvern West,"$1,750"
20,Alderwood,"$1,750"
95,Annex,$949
42,Banbury-Don Mills,$949
34,Bathurst Manor,"$1,825"
76,Bay Street Corridor,"$2,100"
52,Bayview Village,"$2,000"
49,Bayview Woods-Steeles,"$2,087"
39,Bedford Park-Nortown,"$1,650"
112,Beechborough-Greenbrook,"$1,650"
127,Bendale,"$1,650"
122,Birchcliffe-Cliffside,"$1,593"
24,Black Creek,"$1,650"
69,Blake-Jones,"$1,650"
108,Briar Hill-Belgravia,"$1,775"
41,Bridle Path-Sunnybrook-York Mills,"$1,775"
57,Broadview North,"$1,750"
30,Brookhaven-Amesbury,"$1,600"
71,Cabbagetown-South St. James Town,"$1,850"
109,Caledonia-Fairbank,"$1,850"
96,Casa Loma,"$1,923"
133,Centennial Scarborough,"$1,799"
75,Church-Yonge Corridor,"$1,885"
120,Clairlea-Birchmount,"$1,695"
33,Clanton Park,"$1,787"
123,Cliffcrest,"$1,399"
92,Corso Italia-Davenport,"$2,100"
66,Danforth,"$1,600"
59,Danforth East York,"$1,600"
47,Don Valley Village,"$1,900"
126,Dorset Park,"$1,750"
93,Dovercourt-Wallace Emerson-Junction,"$1,795"
26,Downsview-Roding-CFB,"$1,669"
83,Dufferin Grove,"$1,800"
62,East End-Danforth,"$1,640"
9,Edenbridge-Humber Valley,"$1,835"
138,Eglinton East,"$1,664"
5,Elms-Old Rexdale,"$1,664"
32,Englemount-Lawrence,"$1,640"
11,Eringate-Centennial-West Deane,"$1,118"
13,Etobicoke West Mall,"$1,118"
44,Flemingdon Park,"$1,795"
102,Forest Hill North,"$1,775"
101,Forest Hill South,"$1,775"
25,Glenfield-Jane Heights,"$1,850"
65,Greenwood-Coxwell,"$1,640"
140,Guildwood,"$1,640"
53,Henry Farm,"$1,850"
88,High Park North,"$1,813"
87,High Park-Swansea,"$1,813"
134,Highland Creek,"$1,813"
48,Hillcrest Village,"$1,813"
8,Humber Heights-Westmount,"$1,200"
21,Humber Summit,$955
22,Humbermede,"$1,633"
106,Humewood-Cedarvale,"$1,649"
125,Ionview,"$1,649"
14,Islington-City Centre West,"$1,850"
90,Junction Area,"$1,687"
110,Keelesdale-Eglinton West,"$1,725"
124,Kennedy Park,"$1,725"
78,Kensington-Chinatown,"$2,200"
6,Kingsview Village-The Westway,"$1,154"
15,Kingsway South,"$1,950"
114,Lambton Baby Point,"$1,950"
117,L'Amoreaux,"$1,700"
38,Lansing-Westgate,"$1,850"
105,Lawrence Park North,"$1,850"
103,Lawrence Park South,"$1,850"
56,Leaside-Bennington,"$1,685"
84,Little Portugal,"$2,075"
19,Long Branch,"$1,869"
132,Malvern,"$1,469"
29,Maple Leaf,"$1,612"
12,Markland Wood,"$1,612"
130,Milliken,"$1,612"
17,Mimico (includes Humber Bay Shores),"$1,700"
135,Morningside,"$1,884"
73,Moss Park,"$2,100"
115,Mount Dennis,"$1,498"
2,Mount Olive-Silverstone-Jamestown,"$1,498"
99,Mount Pleasant East,"$1,498"
104,Mount Pleasant West,"$1,498"
18,New Toronto,"$1,680"
50,Newtonbrook East,"$1,834"
36,Newtonbrook West,"$1,834"
82,Niagara,"$2,300"
68,North Riverdale,"$2,300"
74,North St. James Town,"$2,300"
121,Oakridge,"$1,662"
107,Oakwood Village,"$1,595"
54,O'Connor-Parkview,"$1,595"
58,Old East York,"$1,595"
80,Palmerston-Little Italy,"$2,200"
45,Parkwoods-Donalda,"$1,736"
23,Pelmo Park-Humberlea,"$1,736"
67,Playter Estates-Danforth,"$1,849"
46,Pleasant View,"$1,547"
10,Princess-Rosethorn,"$1,547"
72,Regent Park,"$1,950"
4,Rexdale-Kipling,"$1,950"
111,Rockcliffe-Smythe,"$2,000"
86,Roncesvalles,"$2,000"
98,Rosedale-Moore Park,"$2,200"
131,Rouge,"$1,000"
89,Runnymede-Bloor West Village,"$1,000"
28,Rustic,"$1,000"
139,Scarborough Village,"$1,705"
85,South Parkdale,"$1,833"
70,South Riverdale,"$1,833"
40,St.Andrew-Windfields,"$1,833"
116,Steeles,"$1,833"
16,Stonegate-Queensway,"$2,100"
118,Tam O'Shanter-Sullivan,"$1,795"
61,Taylor-Massey,"$1,795"
63,The Beaches,"$1,695"
3,Thistletown-Beaumond Heights,"$2,000"
55,Thorncliffe Park,"$1,575"
81,Trinity-Bellwoods,"$2,475"
79,University,"$2,475"
43,Victoria Village,"$1,650"
77,Waterfront Communities-The Island,"$1,895"
136,West Hill,$800
1,West Humber-Clairville,$800
35,Westminster-Branson,"$1,550"
113,Weston,"$1,750"
91,Weston-Pelham Park,"$1,750"
119,Wexford/Maryvale,"$1,660"
51,Willowdale East,"$2,000"
37,Willowdale West,"$2,000"
7,Willowridge-Martingrove-Richview,"$1,395"
137,Woburn,"$1,655"
64,Woodbine Corridor,"$1,655"
60,Woodbine-Lumsden,"$1,550"
94,Wychwood,"$1,550"
100,Yonge-Eglinton,"$1,550"
97,Yonge-St.Clair,"$1,550"
27,York University Heights,"$1,529"
31,Yorkdale-Glen Park,"$1,529"
